Incident_ID,Date,Department,Model,Sub_Assembly,Incident_Description
23-132,2023-04-04 00:00:00,Production,ASR,Bike Drive Train,"ASR 16 order pulls 2012027 for bottom brakcet. No BB kit should appear on order, and 5012504 should be in the BOM"
23-133,2023-04-05 00:00:00,Customer Service,ASR,Bike Steering,ASR2011 - Rear steer tube sheered at weld. This was a replacement part as the original had also sheered in the same place. Cat 3 submitted for reinforced replacement. 
23-134,2023-04-05 00:00:00,Customer Service,,,Customer was short shipped two thumb wheels and two washers on  O23-18734-B9V0. Replacement order O23-18815
23-135,2023-04-05 00:00:00,Customer Service,,Bike Accessories,"Parts order O23-18512-J5K1 for qty 6 name plates and decals, was shipped without hardware. Was advised there is no part number for the needed hardware, no manufacturing notes were added requesting hardware shipped with nameplate.  "
23-136,2023-04-05 00:00:00,Customer Service,,,"Incorrect washer part# 4060562 listed in kits for backrest extenson kit #'s 2114122, 2114132 & 2114134. Angelene is investigating. "
23-137,2023-04-05 00:00:00,Customer Service,AS,Bike Drive Train,"Demo AS2000 hub - snap ring which holds outter cog came off. I was able to reinstall the snap ring very easily however due to the round shape of the ring and groove, any sideways pressure may cause it to dislodge, such as chain alignment."
23-138,2023-04-05 00:00:00,Customer Service,,,Parts order O23-18735 short shipped all four thumb wheels and washers. 
23-139,2023-04-10 00:00:00,Production,DCP,Bike Drive Train,"DCP order lists medium ratcheting footplates but the notes said ""medium with small length"". Order desk needs to understand that the width of molded footplates is all the same, ergo, if the length is ""small"" then the configurator should pull small footplates, not mediums. There is no possible adjustments or changes to the width of molded footplates."
23-140,2023-04-10 00:00:00,Production,ASR,Bike Brakes,"ASR16 order pulls 2013065 parking brake but should be 2013056 for 16"" wheel."
23-141,2023-04-12 00:00:00,Customer Service,ASR,Bike Drive Train,"ASR2011 was delivered to Vibank School Aug 2022 and after a short period the bottom bracket loosened causing the footplate to contact the chainguard. The customer sent images showing the damage, and the bottom bracket keeper nut had spun loose. The bike was located in the middle of no where sask, no bike shops in the area. O22-17283 we sent a replacement chainguard and tool to reinstall the bottom bracket. "
23-142,2023-04-12 00:00:00,Customer Service,DCP,Bike Accessories,DCP16 shipped with out the needed front pulley strings as standard on a DCP LE
23-143,2023-04-12 00:00:00,Customer Service,Chill-Out Chair,COC Cover,Chill-Out Rock'er has a faulty zipper at chair base. Replacement cover on O23-18862 w/ ups return lable
23-144,2023-04-12 00:00:00,Production,AS,Bike Brakes,Pick ticket has both brakes on the hoop bars when there is a Rear Steer one should go to the RS
23-145,2023-04-13 00:00:00,Production,AS,,Old fab Sheet used to process new product 
23-146,2023-04-14 00:00:00,Production,DCP,Bike Steering,"DCPMini states Hoop Bars on order, but we always change them to Enclosed regardless. can we get this changed in the configurator?"
23-147,2023-04-19 00:00:00,Customer Service,,,"Defier requested with adult HB, was quoted and built w/ hb w/ cutout wings. Replacement order O23-18937"
23-148,2023-04-19 00:00:00,Customer Service,ASR,Bike Seating,ASR2011 recieved with damaged seat base and back rest - no damage reported on delivery from O23-17844. Replacment order O23-18938
23-149,2023-04-19 00:00:00,Production,AS,Bike Seating,"i2i brackets listed; seatframe with 1"" spacing not listed"
23-150,2023-04-20 00:00:00,Production,,,There has been 2 seperate occasions when frames went out to paint when they should not have been resulting in incorrect colours applied. AS-2600XTN and ASR HD both need to be rebuilt
23-151,2023-04-21 00:00:00,Production,Chill-Out Chair,,"notes on pick ticket extremely wordy. all it needs to say is increase back height of chair 5"", tray mount on left hand side"
23-152,2023-04-24 00:00:00,Production,ASR,Bike Drive Train,ASR order shows 2012027 for bottom bracket
23-153,2023-04-24 00:00:00,Production,Multiple,Bike Drive Train,"Notes describe custom footplates as ""medium width, small length"" and the configurator lists medium footplates. As medium and small footplates are the same width, this should just be put in as small footplates, and no note is necessary."
23-154,2023-04-24 00:00:00,Production,ASR,Bike Drive Train,ASR order shoes 2012027 for bottom bracket
23-155,2023-04-24 00:00:00,Production,ASR,Bike Steering,ASR order with pneumatic tires also has 6412030 Warning card for solid tires
23-156,2023-04-25 00:00:00,Customer Service,AS,Bike Drive Train,"Customer reported a damaged bottom bracket, was a dealer and not sure how it happened. Quoted new parts. "
23-157,2023-04-19 00:00:00,Customer Service,ET,Bike Accessories,ET2611 front electric assit motor sparking and smoking during ride. Quoted control module
23-158,2023-04-26 00:00:00,Production,EHDU,Bike Drive Train,EHDU lists 2012027 kit for bottom bracket but it shouldn't
23-159,2023-04-27 00:00:00,Customer Service,DCP,Bike Seating,"New DCP16 - Rider has poor leg alignment due to poor seating positioning. First step to correct is to try a narrow seat & abductor strap.    I have seen this a few times, if needed I can find images and documentation, but should a narrow seat be standard for some kiddos? Perhaps if we got a waist measurement we can prevent this. I have also seen it with the crank arm shordeners as well.  Parts order O23-19020 ."
23-160,2023-04-28 00:00:00,Customer Service,ET,Bike Drive Train,"ET2611 chain reported to have fallen off again, this also happened last year with this unit. We sent out a chain tensioner and seemed to be okay. Futher info to follow, a bike shop will arrange repair"
23-161,2023-05-01 00:00:00,Production,,,"confusion with an order, notes on pick ticket state front office to make instructions for rear steer tube.  questioned today why it hasn't gone yet and told front that shipping was waiting for the instructions and i was told this was a personal note put in as a reminder to email instructions to client.  personal reminder notes should not show up on pick ticket, causes confusion"
23-162,2023-05-01 00:00:00,Production,,,"ET 2611 Tandem Tammi Milus O23-17957-X9J4 SN# 2230122 - Hi Tom, yes, it looks like that bike does have the strap guides, however, it also looks like that backrest is about 8” too short for the chest harness to be effective – with or without the guides. 

Great idea to record it in the incident log – please include the serial number and the customer’s photos. 

Iain. 
"
23-163,2023-05-02 00:00:00,Customer Service,Chill-Out Chair,COC Cover,COC pommel fabric/ stitching failed. Warranty replacement on O23-19062
23-164,2023-05-03 00:00:00,Customer Service,AS,,"AS2000 recieved by Motion Kitchener with no serial number on the frame. The bike QA did have the sn checked off, it is very possible Motion is incorrect."
23-165,2023-05-04 00:00:00,Customer Service,AS,Bike Drive Train,AS2000 extended - BB housing material failure.
23-166,2023-05-04 00:00:00,Customer Service,,,"Footplates shipped out with LH & RH pedals installed on incorrect sides. RH pedal on LH footplate, same for both pairs. "
23-167,2023-05-04 00:00:00,Customer Service,AS,Bike Seating,AS2000 seat frame failure
23-168,2023-05-04 00:00:00,Customer Service,DCP,Bike Steering,DCP16 - bent fork on delivery. I have asked front wheel be inspected before parts order submitted. 
23-169,2023-05-05 00:00:00,Production,ASR,Bike Brakes,"ASR16 lists 20"" parking brake 2013065, when it should be the 16"" version."
23-170,2023-05-05 00:00:00,Production,ASR,Bike Drive Train,ASR16 lists 2012027 bottom bracket kit. it should not.
23-171,2023-05-07 00:00:00,Production,,,"7/8"" 16g and 18g tube are mixed in the same rack resulting in 100' of unusable cut material"
23-172,2023-05-08 00:00:00,Production,tandem,Bike Drive Train,Tandem lists 2012027 bottom bracket kit but it shouldn't.
23-173,2023-05-08 00:00:00,Production,AS,Bike Drive Train,"Extra large footplates made for AS struck crank arm on crank rotation. Solution found was to disassemble, trim the inside edge of the footplate, thus moving the ratchetstraps and brackets out away from the crank arm. Angelene working on new footplate drill jig for extra large ecoform footplates."
23-174,2023-05-03 00:00:00,Sales,EHDU,,"Manufacturing notes asked for special configuration of hand pedals (without end grips), even though this is an existing kit (2460192) available in the eval and configurator"
23-175,2023-05-03 00:00:00,Sales,EHDU,,"Manufacturing notes copy and pasted, long and confusing (contains an unanswered question)"
23-176,2023-05-09 00:00:00,Customer Service,EHDU,,"Incorrect seat spec'd, shipped. EHDU with foot pedals should not have a bench - replacment order "
23-177,2023-05-10 00:00:00,Customer Service,Chill-Out Chair,,"Incorrect fabric invoiced on COC DEMO O23-18113 - CRM and GP say the chair is Spirit - Storm, chair was built in dove and hand written on invoice, SN photo also shows Dove."
23-178,2023-05-11 00:00:00,Sales,,,on/off locked and would not pull out .. had to use tool .. this has happend on several bikes
23-179,2023-05-11 00:00:00,Production,ET,Bike Drive Train,"ET has bottom bracket kit 2012027 but it shouldn't. cartridge is covered in the BOM, no kit necessary."
23-180,2023-05-15 00:00:00,Production,,,incorret manufacturing notes - move pedals forward 1.5in
23-181,2023-05-15 00:00:00,Customer Service,,,"Parts order recieved with only 1 ball joint in the socket, other was missing & no instructions sent with order. No charge repl order submitted."
23-182,2023-05-15 00:00:00,Customer Service,DCP,,"Bike arrived with damaged spoke on RHR wheel, no marked as damaged. Repl order 19181"
23-183,2023-05-15 00:00:00,Customer Service,AS,Bike Accessories,AS2000 arrived missing RH lateral - SN image shows it  - repl order 19183
23-184,2023-05-15 00:00:00,Inside Sales,,,DCP 12 Demo Moded missing Ratcheting for Adjustable Fork SN 2210914 - Mike to send new one to Wayne Grapes
23-185,2023-05-15 00:00:00,Production,DCP,Bike Steering,"DCPMini has hoop bars listed, but should have enclosed hoop bars. to my knowledge, minis always get enclosed hoop bars no matter what. it should be changed on the orders."
23-186,2023-05-15 00:00:00,Production,ASR,Bike Drive Train,"Custom foot tracing indicates 8 inch length. configurator lists small footplate, but small footplate would be much too small for the custom tracing. the configurator should say medium footplate."
23-187,2023-05-15 00:00:00,Sales,DCP,,on/off pin snapped in and would not release into freewheel mode wihout using a tool to pop it back out
23-188,2023-05-16 00:00:00,Production,EHDO,Bike Seating,"EHDO order with meshback seat also requests flip down abductor, but they're incompatible."
23-189,2023-05-16 00:00:00,Production,EHDO,,"EHDO lists meshback seat, 2114453, twice."
23-190,2023-05-16 00:00:00,Production,EHDO,,EHDO lists 2012027 but no hand-and-foot option
23-191,2023-05-17 00:00:00,Production,,,3610508 part that came in from NJI was rev 2 not rev 3. Proper DXF and PDF was released and PO reflects changes PO # 2230583
23-192,2023-05-18 00:00:00,Customer Service,,,No SN photo for SN 2160804
23-193,2023-05-18 00:00:00,Production,Multiple,Bike Drive Train,"ASR Electric Assist: this electric assist bike has both 2125361 and 2112306. Technically, this means the bike has 4 wheels. perhaps the electric assist bikes can have a different wheel kit that only has the rear wheels listed, rather than all three wheels."
23-194,2023-05-24 00:00:00,Customer Service,AS,Bike Steering,Ball joint not on tie rod when bike delivered - repl order O23-19304
23-195,2023-05-24 00:00:00,Customer Service,,,"Parts order short shipped two pair of grips. The pick ticket had no check marks but items were highlited, not sure if that was checking off as was boxed. The customer I spoke with is the one who opened box, no grips. Repl order O23-19305"
23-196,2023-05-25 00:00:00,paint,,,"12"" U-bar has fish eyes in paint, poor finish due to bad prep."
23-197,2023-05-26 00:00:00,Customer Service,DCP,Bike Accessories,"Pulley contacting frame and caused ware. The image shows a different caribeener, this was used in an attempt to help but the original was doing the same. "
23-198,2023-05-26 00:00:00,Customer Service,,,"Parts order recieved with only one single grip, not a pair. Replacement on O23-19361"
23-199,2023-05-26 00:00:00,Customer Service,ASR,Bike Brakes,"1 of 3 - bike arrived to Motion - Mississauga with the park brake not contacting the tire, needed to be adjusted. "
23-200,2023-05-26 00:00:00,Customer Service,ASR,Bike Brakes,"2 of 3 - bike arrived to Motion - Mississauga with the park brake not contacting the tire, needed to be adjusted."
23-201,2023-05-26 00:00:00,Customer Service,ASR,Bike Brakes,"3 of 3-  bike arrived to Motion - Mississauga with the park brake not contacting the tire, needed to be adjusted."
23-202,2023-05-29 00:00:00,Customer Service,Chill-Out Chair,,"COC arrived damaged. Cover, tray and pushbar kit damaged. Repl order 19362 submitted. "
23-203,2023-05-29 00:00:00,Customer Service,,,Parts for Motion Kitchener were billed correctly but sent with UPS to Motion Hamilton
23-204,2023-05-29 00:00:00,Sales,AS,,"Manufacturing notes missing from pick ticket, lost in sync from CRM-GP due to apostrophe (') added in CRM after configuring"
23-205,2023-06-01 00:00:00,Customer Service,ASR,Bike Drive Train,"Slipping sprocket on ASR2011 - yet to be resolved  - ""The school is frustrated about this and reconsidering purchasing two more of these as they had originally planned"""
23-206,2023-06-01 00:00:00,Customer Service,ET,Bike Drive Train,"ET2611 - chain disconnected, mid hub snap ring popped off and now the chains are a mess. customer was able to reinstall everything but found the chain tensioner faulty - parts order 19487 submitted."
23-207,2023-06-01 00:00:00,Customer Service,,,"Parts O23-19329 for motion kitchener was shipped to motion hamilton, order was billed correctly, internal shipping error"
23-208,2023-06-01 00:00:00,Production,Multiple,Bike Steering,Recent batches of rear steer handles have not been ground down on end so as to to fit a machinery bushing over top. Suggest Fab gets a sample machinery bushing to test if it fits before stopping grinding.
23-209,2023-06-01 00:00:00,Customer Service,Chill-Out Chair,COC Cover,"COC cover on O22-17543 had stitching coming undone, fabric failing. Replacement order O23-19403"
23-210,2023-06-01 00:00:00,Customer Service,ASR,Bike Drive Train,Eccentric BB on an ASR has shifted causing a loose chain and the crank to contact the chain guard. 
23-211,2023-06-05 00:00:00,Production,EHDO,Bike Drive Train,Chrome plating on 2460436 -EHDO BB STEM (TXT BLACK) is chipping and flaking off 
23-212,2023-06-07 00:00:00,Customer Service,AS,,"Customer installed drag brake on front wheel of AS2000, no instructions were sent with kit. "
23-213,2023-06-07 00:00:00,Customer Service,Chill-Out Chair,COC Accessories,Customer upset that the XLwide COC tray does not tilt as advertised.
23-214,2023-06-07 00:00:00,Customer Service,ASR,Bike Drive Train,"Narrow axle shipped, order was for a standard length. Replacement order O23-19442"
23-215,2023-06-07 00:00:00,Production,DCP mini,COC Accessories,Kit 2012042 is for a small footplate assembly but is pick up medium in Kit
23-216,2023-06-07 00:00:00,Customer Service,AS,Bike Drive Train,"Replacement footplates hitting front wheel of AS2000 - O23-18425 was replacement footplates but still hitting frame, not sure if test fit before shipping. Second replacement ord"
23-217,2023-06-07 00:00:00,Sales,DCP,,photo shared on social media with chest harness slipping off shoulders - marketing could not contact family for SN
23-218,2023-06-08 00:00:00,Sales,DCP,,"same thing , another shared photo from a family , both harness straps fallling off shoulder of rider"
23-219,2023-06-08 00:00:00,,,,"last four carts not fully kitted,or kitted wrong. muliple components missing on carts when marked as done,tbar missing name plates wheels seats assembled without embrodiery,handle bars missing horns,calpers missing."
23-220,JUNE9/23,Sales,,,"DECALS NOT ADDED TO ORDER,HAD TO PUT ON AFTER BUILT"
23-221,JUNE9-23,,,,HUB NOT ON CART 
23-222,2023-06-09 00:00:00,,EHDO,Bike Drive Train,"EDHO has 2012027 bottom bracket kit, but it shouldn't. No hand-and-foot option."
23-223,2023-06-08 00:00:00,Customer Service,ET,Bike Drive Train,"ET2611 - Bike was delivered in the fall, customer never rode it until this spring. First ride out after 10 minutes and the chain came off. I went out and found the snap ring off the mid hub and loose cog, chain tensioner was not in the best position. After replacing the snap ring, i put outter pressure on the dog to see if it would pop off again, it was secure. After repair I went out for a solo ride with no issues. When I went on a ride with someone on the front, there was one instance where it felt like the chain binded, only happened once, was in 4th or 5th gear direct drive. Customer was also concerned as the rear steering handlebar was very loose and not controlling the front wheel (loose pinch bolt at top of stem)"
23-224,2023-06-09 00:00:00,Customer Service,AS,Bike Steering,Snapped fork tab
23-225,2023-06-08 00:00:00,Customer Service,AS,Bike Steering,Snapped fork tab
23-226,2023-06-09 00:00:00,Customer Service,ASR,Bike Accessories,"ASR2011 on/off seperating on axle, hub spinning off free wheel   (bike currently at FCI unresolved)"
23-227,2023-06-09 00:00:00,Customer Service,ASR,Bike Drive Train,"ASR16 loose chain, suspected shifted eccrentric BB, trying to find a repair shop. "
23-228,2023-06-09 00:00:00,Customer Service,AS,Bike Frame,GTE contracting - Snapped spud on AS2000 (non tilt frame 2022)  unresolved- having repaired locally.
23-229,2023-06-08 00:00:00,Customer Service,DCP,Bike Frame,Snapped spud on DCP16  unresolved
23-230,2023-06-12 00:00:00,Production,ASR,,"Picking Ticket calls for ASR solid tire warning card when bike has Pnuematic Tires. happening on alot of orders,"
23-231,2023-06-12 00:00:00,Production,ASR,Bike Drive Train,"ASR2011 has 2012027 bottom bracket kit, but it shouldn't"
23-232,2023-06-12 00:00:00,Customer Service,ASR,Bike Steering,Had a bike at a bike shop for repair - reported the front wedge for the handlebars was loose & bars moving independently 
23-233,2023-06-14 00:00:00,Sales,ASR,,ASR2011 allen key bolts were way too tight to loosen up. 
23-234,2023-06-14 00:00:00,Customer Service,,,"O23-18577 was a replacement COC cover for a previous internal fabric error, customer recieved no ottoman cover with the replacement cover. Chair was delivered to vender beginning of march and still has yet to be delivered to custoemer. second replacement order O23-19497 submitted"
23-235,2023-06-14 00:00:00,Production,,,"3-bolt stems sent for a third time to paint without being properly prepped, not masked.  charges are now being incurred"
23-236,2023-06-14 00:00:00,Customer Service,,,Child laterals sent out with hex bolts to secure to adult seatback. Order was for child laterals which req wood screws which were not sent with order. O23-19506 submitted for 8 screws.    ( should laterals ship automatically with hardware? )
23-237,2023-06-15 00:00:00,Customer Service,AS,Bike Seating,Broken weld on a AS2000 seat frame. Quoted replacement. 
23-238,2023-06-15 00:00:00,Customer Service,Chill-Out Chair,COC Accessories,"Incorrect size headrest ordered - picked L headrest for M chair in error due to old chair sizing, new config was not used. "
23-239,2023-06-15 00:00:00,Customer Service,Chill-Out Chair,COC Accessories,"Jaydene sold this demo and asked that I send out a no charge ottoman support kit, chair had a normal ottoman. Speaking with the customer, the only reason she purchased the chair was she was told she could support the ottoman while it is being wheeled around. No charge ottoman order submitted."
23-240,2023-06-15 00:00:00,Customer Service,,,Hal from Creative Mobility has been relocating the electric assist batteries behind the seat on handcycles. Handcycle riders are having a difficuly time reaching down to the location of the battery to turn the key on/off due to their disability.
23-241,2023-06-15 00:00:00,Customer Service,ASR,,"Customer emailed wondering why their trainer was slipping off the bolts, as a student was trying to get on the bike it shifted to the side. No instructions sent with bike, user did not know how to setup trainer and had it resting on the bearing flange bolts. (is it possible to get a label made which can stick to the trainer with instruction?)"
23-242,2023-06-16 00:00:00,Customer Service,,,Parts order for Motion Kitchener was delivered by UPS to Motion Hamilton. Undeterminded if UPS or FCI error. 
23-243,2023-06-16 00:00:00,Customer Service,,,SN photo not in t drive 
23-244,2023-06-16 00:00:00,Customer Service,DCP,Bike Accessories,DCPmini arrived missing one thumbwheel on bottom side of leg brace. Sent replacement parts order
23-245,2023-06-19 00:00:00,Customer Service,,,SN photo not in t drive
23-246,2023-06-19 00:00:00,Engineering,Chill-Out Chair,COC Accessories,"Bert brought a Roller base that was separating, he expereinced 2 Roller bases de-laminating while Rusty has experienced 4. Rusty has re-purposed a few into trolleys to use within the shop. From Rusty's feedback, these bases were from the same batch, and they came off the pallet with the issue. I will initiate contact with our vendor (Carson-Tricom) "
23-247,2023-06-19 00:00:00,Customer Service,ASR,Bike Drive Train,"Customer tipped bike while riding at a high rate of speed while turning. Parts order for a steering limiter added, also found that the customers on/off was not functioning, the rider could not control the bike speed as well due to being stuck in freewheel mode (as per Larry who spoke with them)"
23-248,2023-06-20 00:00:00,Production,Multiple,Bike Steering,Tandem cable has significant frays and weld marks
23-249,2023-06-20 00:00:00,Customer Service,ASR,Bike Drive Train,"Report of an on/off slipping at a local school. I inspected and found it to be slipping, but also had spun half way off the hub, also very little to none threadlock on set screws. I was able to remove and re assemble, there was a slight gap afterwards."
23-250,2023-06-21 00:00:00,Assembly,,,New enclosed chain guard has fitment issue with rear frame tab alignment slot on inner half too wide.
23-251,2023-06-21 00:00:00,Customer Service,DCP,Bike Steering,Snapped fork tab
23-252,2023-06-21 00:00:00,Production,DCP,,"HAL Creative mobility DCP12 order missed rear steer on the purchase order (picking ticket?). Confirmed with Chantal that it does in fact need one, and the brake should be on the rear steer not on the handlebar. "
23-253,2023-06-21 00:00:00,Customer Service,DCP,,DCP12 for a 4 year old rider - quoted large pelvic belt instead of small & forgot the chest harness. Repl parts order O23-19565
23-254,2023-06-21 00:00:00,Customer Service,,,"UPS not able to deliver parts package, apt number missing on UPS slip however it was on the pick ticket. "
23-255,2023-06-22 00:00:00,Customer Service,,,Vibank footplate broken - this is the 4th occurance with the HD bike and XL footplates. 
23-256,2023-06-22 00:00:00,Sales,ET,,"Custom order 18634 specified 28in inseam, rider is much shorter (esimated 18"" from photo). Bike doesn't fit. "
23-257,2023-06-22 00:00:00,Customer Service,ET,,Manufacturing notes don't match those on the pick ticket (Sydney was supposed to take pictures?)
23-258,2023-06-22 00:00:00,Sales,ET,,"water bottle on invoice/in CRM but not on picking ticket, not in customer photo"
23-259,2023-06-22 00:00:00,Production,ET,,Serial number photo for bike invoiced June 1 not available on June 22 (3 weeks later). Not sure if lost or late. 
23-260,2023-06-23 00:00:00,Customer Service,ET,,ET2611 - Customer reports chain always falling off and tensioner now in incorrect position. I have sent the customer an image of the correct way for the tensioner to be oriented and she repositioned however would not stay in place and tension the chain. 
23-261,2023-06-23 00:00:00,Customer Service,ASR,Bike Steering,Jaydene reports that the bottom headset wedge nut has loosened on an ASR16 and the handle bars will not properly turn the front wheel. Repair instructions sent.
23-262,2023-06-26 00:00:00,Customer Service,DCP,,Leg brace contacting seat base and has caused damage to seat. Recommended repositioning leg brace lower or raise seat.
23-263,2023-06-27 00:00:00,Sales,DCP,,DCP12 has chest harness that is not staying on the shoulders ! this is with our new guides installed as well
23-264,2023-06-30 00:00:00,Customer Service,DCP,,CAT3 DCP12 w/ 12in ubar - the ubar is coming to close to the rider and unable to ride. Evan requested other size ubars are sent out - order submitted
23-265,nan,,asr16,Bike Frame,bar in centre of frame forgotten
23-266,2023-06-30 00:00:00,ASSEMBLY,,,"bike #19190 splitter and midhub mounts missing, bike was sent out for paint as such. upon return splitter mount was installed and paint touched up. steering cable guides were no positioned properly making cable install difficult and time consuming."
23-267,2023-06-30 00:00:00,Production,ASR,Bike Frame,Front chainguard bracket intereferes with main tubes. Requires trimming chainguard bracket & drilling new hole. Issue on most ASRs since eccentric bottom bracket. 
23-268,2023-07-04 00:00:00,ASSEMBLY,,,"Crank shorteners supplied are chamfered on wrong side of item, pedals are very difficult to start threads, will require remachining."
23-269,2023-07-04 00:00:00,Customer Service,DCP,Bike Seating,backrest damaged during freight - not claimed - repl order submitted
23-270,2023-07-04 00:00:00,Production,AS,Bike Brakes,"AS order features both right and left brake levers for both rear steer position AND T-bar position. I thought Ian fixed the left/right brake lever issue, but it seems the old ones remained in the kits, and now both are listed."
23-271 ,2023-07-05 00:00:00,Customer Service,,,ASR16 arrived damaged - unresolved
23-272,2023-07-05 00:00:00,Customer Service,,,COC arrived damaged - being returned free astray - unresolved
23-273,2023-07-07 00:00:00,Customer Service,DCP,Bike Frame,"DCP spud tube snapped - customer admits rider is very hard on bike and holds no fault to FCI. locally repaired, brother a welder."
23-274,2023-07-11 00:00:00,Production,ASR,Bike Seating,"ASR T-bar kit has socket screw at 3 1/4, but should be 2 3/4. Hang over from asr seat frame update."
23-275,2023-07-12 00:00:00,Production,Multiple,Bike Accessories,Some Trainer bases and roller bases have been made with a thicker guage square iron. Not a big deal but it's more difficult to pound in the plugs and some of them look pretty ugly.
23-276,2023-07-13 00:00:00,Production,ASR,Bike Drive Train,"ASR has 2012027 bottom bracket kit, but it shouldn't"
23-277,2023-07-13 00:00:00,Production,ASR,Bike Drive Train,"ASR has 2012027 bottom bracket kit, but it shouldn't"
23-278,2023-07-13 00:00:00,Production,ET,Bike Steering,"ET folding stem 5/16"" SS bolt seized, customer couldn't tighten stem. Broke bolt. "
23-279,2023-07-17 00:00:00,Customer Service,AS,,Incorrect tie rod picked and shipped on O23-19580 
23-280,2023-07-17 00:00:00,Customer Service,,,Pivot part sent without hole being drilled for cable - replacement order O23-19770
23-281,2023-07-17 00:00:00,Customer Service,DCP,Bike Frame,Snapped Spud DCP12 SN2220180  - replacement frame on order
23-282,2023-07-17 00:00:00,Customer Service,ET,Bike Drive Train,ET2611 hard to ride & chain skipping on first time riding - unresolved
23-283,2023-07-17 00:00:00,Production,ET,,Serial number photos not available for previous 7 weeks. 
23-284,2023-07-17 00:00:00,Production,Multiple,,Chrome seat post/Tray post from Taiwan has a solid rod stuck in it. Rusty took it out seat post is still usable
23-285,2023-07-20 00:00:00,Customer Service,DCP,Bike Accessories,Creative mob bike delivered to customer - no foam padding on leg braces. 
23-286,2023-07-20 00:00:00,Customer Service,,,SN image missing for RL220M008
23-287,2023-07-21 00:00:00,Customer Service,,,"Parts order shipped incorrect size tires & tubes, missing chest harness. No pick ticket checks, only Elaine's highlighting. sent replacement parts order"
23-288,2023-07-21 00:00:00,Customer Service,DCP,Bike Frame,Snapped spud on DCP16 - @ fci for repair
23-289,2023-07-21 00:00:00,Customer Service,ET,Bike Drive Train,"ET2611 - 'chain snapped and fell off on first ride' - had repaired at a bike shop with new chain, resolved. "
23-290,2023-07-24 00:00:00,Customer Service,ASR,,"O23-19676 order shipped with no backrest, was needed for repair on freight damage with time restraint. I submitted another parts order, however this short shippment has greatly complicated repairs."
23-291,2023-07-25 00:00:00,Customer Service,,,O23-19589 short shipped with no grips. sent replacement. 
23-292,2023-07-26 00:00:00,Customer Service,Chill-Out Chair,Bike Accessories,COC shipped with Rock'er base unassembeled and no instructions & missing 4 washers.
23-293,2023-07-26 00:00:00,Customer Service,,,O23-19801-K1B0 incorrectly quoted. Colin provided multipul part numbers and Mike missed one on the order. Colin corrected before shipping!
23-294,2023-07-26 00:00:00,Customer Service,,,Customer on a mini unable to reach pedals as they are positoned under the seat. Adult rider on an EXT mini - will find a bike shop to modify - unresolved. 
23-295,2023-07-28 00:00:00,Customer Service,,,Incorrect tracking number listed on CRM copy of invoice and sent to customer. 
23-296,2023-07-28 00:00:00,Customer Service,,,"Thumbscrews missing on delivery from leg braces, sent replacements"
23-297,2023-07-31 00:00:00,Customer Service,,,"No SN in drive - this is extrememly important for this situation, I need an image of this custom set up bike to send to a bike shop and can not. I went through the year and found many images with no image name changed, none matched this SN but these images also should be renamed to the correct SN. "
23-298,2023-08-01 00:00:00,Customer Service,Chill-Out Chair,COC Accessories,"COC tray mounted to the incorrect side - was selected RH in config as the only selectable option however was well noted in manuf notes for tray to be on LH side, Elaine had also hand written in the part number on the pick ticket.  Order change was never made in CRM, not noticed by assembly or shipping, this chair also does not have a QA form attached. "
23-299,2023-08-01 00:00:00,Customer Service,,,"SN2230545 photo is blurry, not detailed enough for me to see how close the front tire is to the centering spring. "
23-300,2023-08-01 00:00:00,Customer Service,,,AS2000 front tire is contacting centering spring on deliver. Facetime and found tilt fork at the lowest postion and causing the centering spring to contact the front tire. Instructed customer to raise tilt fork and resolved. 
23-301,2023-08-01 00:00:00,Production,EHDU,Bike Seating,"Custom hand cycle pick ticket not clear on all parts needed: seat slider and rear seat mount normally not part of kits, but BOM, not indicated anywhere on the pick ticket."
23-302,2023-08-02 00:00:00,Customer Service,,,"ET2611 fixed / solid tensioner - customer installed incorrectly and caused chain line issues, was not aware of the two different size bolts in the kit to accomidate different idler positions. Need to update instructions"
23-303,2023-08-03 00:00:00,Shipping,,,Some Serial Number Photos too blurry to read serial nuimber
23-304,2023-08-04 00:00:00,Customer Service,,,"Parts order had a child HB with tnuts for laterals, same as existing backrest. Order was submitted 07/28 with 08/07 ESD which is 6 business days. Alvin came to me afternoon Friday 08/04 as he is starting to pick this parts order and now realizes we need Gary to make this backrest w/ tnuts which will now push the ESD well past. This order should have gone to Gary on day 1 with the request, rather than the day before the order is supposed to ship. "
23-305,2023-08-04 00:00:00,Customer Service,Chill-Out Chair,COC Accessories,"When quoting COC accessories, there is only one price no matter the material. We should have two different options, adding one at a higher price to account for the premium fabric. For example a 3 piece cushion set should be more expensive with a Prairie fabric. "
23-306,2023-08-08 00:00:00,Customer Service,,,"SN issues. Customer supplied a SN photo which does not match the SN log or CRM orde. Correct SN label should have been 2230768. The QA paperwork lists the correct sn, but looks like was originally entered 222xxx over wrote 223xxxx, the QA paperwork has the SN field checked all good. "
23-307,2023-08-08 00:00:00,Customer Service,,,"There have been multpul parts orders which Elaine didn't think had shipped and showed overdue, she says was still live in GP. I went through all of the hard copies and found she had shipped the orders and even written tracking numbers and invoce numbers, two orders were found to have no shipped and apparently never recieved paper work for. Those parts orders are on the parts production board so I am not sure how paperwork was not rec. "
